title,price,city,store,createdAt,area(m²),rooms
Location Appartement Niveau de villa F3 Alger Douera,400000000,Douera,Agence Immobilière  Danil,2026-06-18 09:15,N/A,N/A
Location Appartement Duplex F4 Alger Dely brahim,150000,Dely brahim,AGENCE IMMOBILIERE HFY ,2026-06-10 10:12,N/A,N/A
Location Villa Alger Dely brahim,400000,Dely brahim,AGENCE IMMOBILIERE HFY ,2025-10-18 09:42,380.0,N/A
Vente Appartement Duplex F5 Alger Dely brahim,74000000,Dely brahim,AGENCE IMMOBILIERE HFY ,2026-06-09 08:38,190.0,N/A
Vente Villa Alger Dely brahim,155000000,Dely brahim,AGENCE IMMOBILIERE HFY ,2026-04-30 08:57,365.0,N/A
Location Appartement F4 Alger Ouled fayet,90000,Ouled fayet,N/A,2026-06-07 20:30,N/A,N/A
Location Appartement F4 Alger Ouled fayet,90000,Ouled fayet,N/A,2026-06-08 08:53,N/A,N/A
Vente Appartement F4 Alger Dely brahim,35000000,Dely brahim,AGENCE IMMOBILIERE HFY ,2026-06-10 10:08,135.0,N/A
Vente Appartement F4 Alger Dely brahim,38000000,Dely brahim,AGENCE IMMOBILIERE HFY ,2025-09-27 10:01,120.0,[4]
Vente Villa Alger Hydra,190000000,Hydra,AGENCE IMMOBILIERE HFY ,2025-01-23 10:36,399.0,N/A
Vente Appartement F4 Alger Dely brahim,N/A,Dely brahim,Residence Aghiles - Aghiles Promotion  / Sara ,2025-10-13 10:21,140.0,N/A
Vente Villa Oran Oran,90000000,Oran,Elche immobilier ,2026-06-14 11:51,800.0,N/A
Vente Appartement F5 Boumerdès Boumerdes,34320000,Boumerdes,Promotion immobilière aissat,2026-03-29 13:26,156.0,[5]
Vente Appartement F3 F5 Tipaza Tipaza,N/A,Tipaza,DAR EL KHIR,2026-04-13 14:29,119.0,"[3, 5]"
Vente Appartement F3 Alger El harrach,N/A,El harrach,Lempreinte promotion l'empreinte,2026-04-26 08:01,75.0,[3]
Vente Appartement F4 Tébessa Tebessa,110000000000000,Tebessa,N/A,2026-06-21 12:51,87.0,N/A
Location Appartement F3 Alger Ouled fayet,90000,Ouled fayet,N/A,2026-06-17 08:41,N/A,N/A
Vente Appartement F3 Alger El harrach,N/A,El harrach,Diamond immobilier,2026-03-24 18:18,86.25,N/A
Vente Appartement F3 Alger Bordj el bahri,N/A,Bordj el bahri,Lempreinte promotion l'empreinte,2026-04-25 14:17,90.0,[3]
Vente Appartement F3 Alger Cheraga,23800000,Cheraga,Deux A hamid pro,2026-06-08 13:26,65.0,N/A
Vente Appartement F4 Alger Ain taya,N/A,Ain taya,Deux A hamid pro,2026-06-08 13:19,184.0,N/A
Vente Appartement F3 Alger Ain benian,290000,Ain benian,ClockeyLux Promotion immobilière,2026-01-08 10:23,101.0,N/A
Vente Appartement F4 Alger Draria,N/A,Draria,Aymen promotion | KARIM,2026-01-20 15:27,142.0,[4]
Vente Appartement F5 Alger Cheraga,N/A,Cheraga,Résidence Aghiles / Promotion Aghiles,2026-04-19 11:45,154.0,[5]
Vente Appartement F3 Alger Bordj el bahri,N/A,Bordj el bahri,PLAZA PRO ,2025-10-31 14:53,78.0,N/A
Location Appartement F4 Alger Ouled fayet,90000,Ouled fayet,N/A,2026-06-18 12:59,N/A,N/A
Location Local Alger Bab ezzouar,85000,Bab ezzouar,N/A,2026-06-21 12:50,30.0,N/A
Vente Appartement F3 Oran Oran,N/A,Oran,DCPROM,2025-11-11 15:05,N/A,N/A
Vente Villa Oran Bir el djir,70000000,Bir el djir,Fahd Immobilier,2025-12-22 11:39,264.0,N/A
Vente Appartement Duplex F4 Alger Dely brahim,58800000,Dely brahim,MP PROMOTION ,2026-05-23 13:36,140.0,N/A
